iteration,episode,score,step
25,0,nan,6400
50,16,-21.0,12800
75,16,-21.0,19200
100,30,-21.0,25600
125,32,-20.96875,32000
150,38,-20.973684210526315,38400
175,48,-20.854166666666668,44800
200,51,-20.862745098039216,51200
225,63,-20.77777777777778,57600
250,65,-20.73846153846154,64000
275,75,-20.666666666666668,70400
300,81,-20.617283950617285,76800
325,89,-20.629213483146067,83200
350,96,-20.614583333333332,89600
375,105,-20.62,96000
400,113,-20.62,102400
425,121,-20.62,108800
450,129,-20.62,115200
475,137,-20.63,121600
500,147,-20.66,128000
525,155,-20.72,134400
550,164,-20.79,140800
575,171,-20.82,147200
600,180,-20.91,153600
625,188,-20.95,160000
650,196,-20.99,166400
675,205,-21.0,172800
700,212,-21.0,179200
725,222,-21.0,185600
750,230,-21.0,192000
775,240,-21.0,198400
800,246,-21.0,204800
825,256,-21.0,211200
850,264,-21.0,217600
875,272,-21.0,224000
900,281,-21.0,230400
925,289,-21.0,236800
950,297,-21.0,243200
975,305,-21.0,249600
1000,313,-21.0,256000
1025,322,-21.0,262400
1050,331,-21.0,268800
1075,340,-21.0,275200
1100,347,-21.0,281600
1125,356,-21.0,288000
1150,364,-21.0,294400
1175,372,-21.0,300800
1200,381,-21.0,307200
1225,388,-21.0,313600
1250,398,-21.0,320000
1275,406,-21.0,326400
1300,415,-21.0,332800
1325,422,-21.0,339200
1350,431,-21.0,345600
1375,440,-21.0,352000
1400,447,-21.0,358400
1425,456,-21.0,364800
1450,465,-21.0,371200
1475,473,-21.0,377600
1500,481,-21.0,384000
1525,489,-21.0,390400
1550,497,-21.0,396800
1575,506,-20.99,403200
1600,515,-20.99,409600
1625,523,-20.99,416000
1650,532,-20.99,422400
1675,540,-20.99,428800
1700,547,-20.99,435200
1725,555,-20.98,441600
1750,562,-20.96,448000
1775,572,-20.94,454400
1800,578,-20.92,460800
1825,586,-20.9,467200
1850,591,-20.88,473600
1875,601,-20.81,480000
1900,605,-20.79,486400
1925,616,-20.73,492800
1950,621,-20.7,499200
1975,632,-20.66,505600
2000,637,-20.66,512000
2025,648,-20.63,518400
2050,653,-20.61,524800
2075,663,-20.59,531200
2100,669,-20.59,537600
2125,676,-20.54,544000
2150,685,-20.55,550400
2175,692,-20.57,556800
2200,701,-20.61,563200
2225,707,-20.62,569600
2250,715,-20.64,576000
2275,723,-20.67,582400
2300,731,-20.66,588800
2325,738,-20.6,595200
2350,746,-20.58,601600
2375,753,-20.6,608000
2400,762,-20.57,614400
2425,768,-20.57,620800
2450,775,-20.61,627200
2475,784,-20.57,633600
2500,791,-20.57,640000
2525,799,-20.55,646400
2550,807,-20.52,652800
2575,815,-20.52,659200
2600,822,-20.49,665600
2625,831,-20.49,672000
2650,837,-20.49,678400
2675,845,-20.49,684800
2700,851,-20.5,691200
2725,860,-20.49,697600
2750,864,-20.49,704000
2775,875,-20.46,710400
2800,879,-20.48,716800
2825,888,-20.46,723200
2850,895,-20.42,729600
2875,901,-20.37,736000
2900,910,-20.35,742400
2925,914,-20.33,748800
2950,924,-20.36,755200
2975,929,-20.37,761600
3000,938,-20.32,768000
3025,944,-20.32,774400
3050,952,-20.32,780800
3075,960,-20.33,787200
3100,965,-20.34,793600
3125,970,-20.37,800000
3150,979,-20.28,806400
3175,984,-20.26,812800
3200,993,-20.26,819200
3225,998,-20.3,825600
3250,1006,-20.32,832000
3275,1012,-20.31,838400
3300,1015,-20.3,844800
3325,1024,-20.21,851200
3350,1028,-20.15,857600
3375,1034,-20.13,864000
3400,1041,-20.16,870400
3425,1045,-20.11,876800
3450,1049,-20.08,883200
3475,1057,-19.93,889600
3500,1060,-19.83,896000
3525,1064,-19.75,902400
3550,1067,-19.72,908800
3575,1072,-19.6,915200
3600,1075,-19.56,921600
3625,1080,-19.52,928000
3650,1081,-19.51,934400
3675,1086,-19.55,940800
3700,1089,-19.53,947200
3725,1093,-19.48,953600
3750,1095,-19.45,960000
3775,1099,-19.38,966400
3800,1102,-19.34,972800
3825,1103,-19.31,979200
3850,1111,-19.23,985600
3875,1112,-19.24,992000
3900,1115,-19.22,998400
3925,1118,-19.21,1004800
3950,1119,-19.21,1011200
3975,1125,-19.14,1017600
4000,1128,-19.12,1024000
4025,1130,-19.08,1030400
4050,1134,-19.03,1036800
4075,1138,-18.96,1043200
4100,1143,-18.92,1049600
4125,1144,-18.93,1056000
4150,1148,-18.87,1062400
4175,1150,-18.81,1068800
4200,1153,-18.8,1075200
4225,1159,-18.9,1081600
4250,1160,-18.88,1088000
4275,1163,-18.88,1094400
4300,1165,-18.87,1100800
4325,1167,-18.84,1107200
4350,1173,-18.89,1113600
4375,1176,-18.87,1120000
4400,1178,-18.89,1126400
4425,1180,-18.85,1132800
4450,1182,-18.79,1139200
4475,1187,-18.74,1145600
4500,1191,-18.76,1152000
4525,1194,-18.71,1158400
4550,1197,-18.68,1164800
4575,1198,-18.68,1171200
4600,1204,-18.57,1177600
4625,1207,-18.48,1184000
4650,1210,-18.43,1190400
4675,1212,-18.35,1196800
4700,1213,-18.31,1203200
4725,1217,-18.13,1209600
4750,1224,-17.8,1216000
4775,1225,-17.77,1222400
4800,1226,-17.66,1228800
4825,1228,-17.56,1235200
4850,1230,-17.47,1241600
4875,1233,-17.33,1248000
