episode,score,time,step,epsilon
1,-20.0,0:00:07.662104,870,0.9229000000000085
2,-20.0,0:00:17.081679,1821,0.827800000000019
3,-19.333333333333332,0:00:26.928798,2866,0.7233000000000305
4,-19.5,0:00:36.506619,3830,0.6269000000000411
5,-19.6,0:00:45.678086,4779,0.5320000000000515
6,-19.666666666666668,0:00:53.978532,5617,0.44820000000006077
7,-19.857142857142858,0:01:01.862217,6441,0.36580000000006985
8,-20.0,0:01:10.123462,7265,0.2834000000000789
9,-20.0,0:01:18.650736,8107,0.1992000000000882
10,-20.1,0:01:26.955296,8950,0.11490000000009608
11,-20.181818181818183,0:01:35.286777,9793,0.030600000000093688
12,-20.25,0:01:43.434684,10585,0.02
13,-20.23076923076923,0:01:52.903861,11535,0.02
14,-20.285714285714285,0:02:01.474231,12361,0.02
15,-20.333333333333332,0:02:09.194687,13125,0.02
16,-20.375,0:02:16.908335,13889,0.02
17,-20.41176470588235,0:02:25.933781,14653,0.02
18,-20.444444444444443,0:02:34.704544,15477,0.02
19,-20.473684210526315,0:02:42.743820,16269,0.02
20,-20.5,0:02:51.151238,17095,0.02
21,-20.523809523809526,0:02:59.042400,17859,0.02
22,-20.545454545454547,0:03:07.425979,18651,0.02
23,-20.565217391304348,0:03:15.725728,19475,0.02
24,-20.583333333333332,0:03:24.073980,20315,0.02
25,-20.6,0:03:31.890313,21079,0.02
26,-20.615384615384617,0:03:40.070966,21843,0.02
27,-20.62962962962963,0:03:47.606591,22607,0.02
28,-20.642857142857142,0:03:55.226742,23371,0.02
29,-20.655172413793103,0:04:03.059518,24154,0.02
30,-20.633333333333333,0:04:12.298482,25024,0.02
31,-20.64516129032258,0:04:20.288115,25816,0.02
32,-20.625,0:04:30.125338,26808,0.02
33,-20.636363636363637,0:04:38.209450,27572,0.02
34,-20.647058823529413,0:04:46.159529,28364,0.02
35,-20.65714285714286,0:04:53.869842,29128,0.02
36,-20.666666666666668,0:05:01.540577,29892,0.02
37,-20.675675675675677,0:05:10.315143,30656,0.02
38,-20.68421052631579,0:05:18.166622,31420,0.02
39,-20.692307692307693,0:05:25.729057,32213,0.02
40,-20.7,0:05:34.322824,33039,0.02
41,-20.70731707317073,0:05:42.991830,33891,0.02
42,-20.714285714285715,0:05:51.324318,34717,0.02
43,-20.697674418604652,0:06:00.051693,35559,0.02
44,-20.704545454545453,0:06:08.674832,36411,0.02
45,-20.68888888888889,0:06:19.508923,37431,0.02
46,-20.695652173913043,0:06:27.676547,38255,0.02
47,-20.680851063829788,0:06:36.757019,39126,0.02
48,-20.666666666666668,0:06:45.963035,40056,0.02
49,-20.6734693877551,0:06:54.581723,40882,0.02
50,-20.66,0:07:03.161662,41719,0.02
51,-20.647058823529413,0:07:12.240173,42640,0.02
52,-20.653846153846153,0:07:21.648140,43523,0.02
53,-20.641509433962263,0:07:30.916449,44464,0.02
54,-20.64814814814815,0:07:39.950338,45318,0.02
55,-20.654545454545456,0:07:48.755855,46190,0.02
56,-20.660714285714285,0:07:57.627386,47062,0.02
57,-20.666666666666668,0:08:06.747457,47971,0.02
58,-20.655172413793103,0:08:15.401627,48830,0.02
59,-20.64406779661017,0:08:23.934953,49672,0.02
60,-20.65,0:08:33.398268,50612,0.02
61,-20.65573770491803,0:08:40.765305,51422,0.02
62,-20.661290322580644,0:08:48.324696,52214,0.02
63,-20.666666666666668,0:08:57.352042,53056,0.02
64,-20.671875,0:09:06.824187,54002,0.02
65,-20.676923076923078,0:09:14.101061,54766,0.02
66,-20.681818181818183,0:09:21.933463,55559,0.02
67,-20.686567164179106,0:09:30.281797,56431,0.02
68,-20.691176470588236,0:09:37.797150,57195,0.02
69,-20.695652173913043,0:09:45.463009,57987,0.02
70,-20.7,0:09:53.035752,58779,0.02
71,-20.704225352112676,0:10:00.892946,59571,0.02
72,-20.708333333333332,0:10:08.426408,60363,0.02
73,-20.71232876712329,0:10:17.306631,61183,0.02
74,-20.716216216216218,0:10:26.278244,62063,0.02
75,-20.72,0:10:34.481767,62887,0.02
76,-20.723684210526315,0:10:42.307495,63651,0.02
77,-20.727272727272727,0:10:50.818097,64533,0.02
78,-20.73076923076923,0:10:58.996698,65346,0.02
79,-20.72151898734177,0:11:07.753954,66267,0.02
80,-20.725,0:11:18.258291,67272,0.02
81,-20.728395061728396,0:11:26.256313,68064,0.02
82,-20.73170731707317,0:11:33.704858,68828,0.02
83,-20.734939759036145,0:11:42.512741,69700,0.02
84,-20.714285714285715,0:11:52.013808,70674,0.02
85,-20.71764705882353,0:12:00.663826,71514,0.02
86,-20.72093023255814,0:12:09.757586,72394,0.02
87,-20.689655172413794,0:12:20.353109,73429,0.02
88,-20.693181818181817,0:12:29.140158,74272,0.02
89,-20.685393258426966,0:12:37.991377,75170,0.02
90,-20.677777777777777,0:12:47.206465,76128,0.02
91,-20.65934065934066,0:12:57.135952,77138,0.02
92,-20.66304347826087,0:13:05.469000,77958,0.02
93,-20.64516129032258,0:13:17.937040,79180,0.02
94,-20.638297872340427,0:13:28.026860,80128,0.02
95,-20.642105263157895,0:13:35.996361,80920,0.02
