iteration,episode,score,step
25,79,-20.379746835443036,76800
50,162,-20.37,153600
75,245,-20.33,230400
100,328,-20.22,307200
125,406,-19.88,384000
150,481,-19.27,460800
175,548,-18.47,537600
200,605,-17.47,614400
225,653,-15.93,691200
250,691,-12.68,768000
275,724,-6.42,844800
300,760,2.79,921600
325,800,11.7,998400
350,836,13.34,1075200
375,877,14.41,1152000
400,917,15.07,1228800
425,961,17.78,1305600
450,1001,17.76,1382400
475,1044,17.46,1459200
500,1085,17.27,1536000
525,1127,17.39,1612800
550,1164,16.62,1689600
575,1206,16.33,1766400
600,1245,16.12,1843200
625,1285,16.45,1920000
650,1324,16.56,1996800
675,1361,16.25,2073600
700,1400,16.11,2150400
