iteration,episode,score,step
25,80,-20.45,76800
50,164,-20.47,153600
75,254,-20.66,230400
100,340,-20.44,307200
125,420,-20.27,384000
150,502,-20.27,460800
175,576,-19.85,537600
200,643,-19.62,614400
225,708,-19.22,691200
250,759,-18.9,768000
275,792,-18.37,844800
300,816,-13.74,921600
325,847,-3.46,998400
350,878,6.19,1075200
375,907,13.23,1152000
400,940,14.6,1228800
425,975,16.34,1305600
450,1012,16.96,1382400
475,1044,17.37,1459200
500,1076,16.63,1536000
525,1106,15.63,1612800
550,1133,14.37,1689600
575,1163,13.05,1766400
600,1191,12.43,1843200
