iteration,episode,score,step
25,80,-20.325,76800
50,163,-20.44,153600
75,252,-20.21,230400
100,331,-20.15,307200
125,416,-20.14,384000
150,494,-19.96,460800
175,566,-19.51,537600
200,641,-19.38,614400
225,706,-18.97,691200
250,758,-18.09,768000
275,805,-17.74,844800
300,851,-15.35,921600
325,881,-10.83,998400
350,913,-5.15,1075200
375,947,0.43,1152000
400,979,2.94,1228800
425,1011,4.39,1305600
450,1041,4.63,1382400
475,1069,4.66,1459200
500,1099,4.86,1536000
525,1129,4.92,1612800
550,1162,4.87,1689600
575,1193,4.88,1766400
600,1224,4.87,1843200
