episode,score,time,step,epsilon
1,-21.0,0:00:07.277498,848,0.9251000000000082
2,-20.5,0:00:16.512619,1753,0.8346000000000182
3,-20.666666666666668,0:00:25.989993,2695,0.7404000000000286
4,-20.75,0:00:34.345511,3547,0.655200000000038
5,-20.8,0:00:43.247048,4399,0.5700000000000474
6,-20.833333333333332,0:00:52.772012,5343,0.47560000000005775
7,-20.857142857142858,0:01:00.627151,6137,0.3962000000000665
8,-20.75,0:01:09.434685,6979,0.3120000000000758
9,-20.77777777777778,0:01:18.877523,7882,0.22170000000008572
10,-20.8,0:01:26.725225,8646,0.14530000000009413
11,-20.818181818181817,0:01:35.089148,9438,0.06610000000009468
12,-20.833333333333332,0:01:43.469654,10230,0.02
13,-20.846153846153847,0:01:51.923112,11082,0.02
14,-20.857142857142858,0:02:00.755896,11966,0.02
15,-20.866666666666667,0:02:10.139823,12851,0.02
16,-20.875,0:02:18.903564,13735,0.02
17,-20.88235294117647,0:02:27.428401,14578,0.02
18,-20.88888888888889,0:02:36.517867,15430,0.02
19,-20.842105263157894,0:02:45.249391,16317,0.02
20,-20.75,0:02:55.469422,17254,0.02
21,-20.714285714285715,0:03:05.345600,18238,0.02
22,-20.727272727272727,0:03:13.732095,19030,0.02
23,-20.73913043478261,0:03:22.488101,19878,0.02
24,-20.75,0:03:30.843773,20698,0.02
25,-20.76,0:03:38.816068,21462,0.02
26,-20.76923076923077,0:03:47.076289,22226,0.02
27,-20.77777777777778,0:03:54.759437,22990,0.02
28,-20.785714285714285,0:04:02.568133,23754,0.02
29,-20.79310344827586,0:04:11.901200,24625,0.02
30,-20.8,0:04:20.190679,25456,0.02
31,-20.806451612903224,0:04:28.328233,26266,0.02
32,-20.8125,0:04:36.577986,27030,0.02
33,-20.818181818181817,0:04:44.885249,27822,0.02
34,-20.823529411764707,0:04:53.096234,28646,0.02
35,-20.82857142857143,0:05:01.573036,29499,0.02
36,-20.805555555555557,0:05:10.783865,30369,0.02
37,-20.81081081081081,0:05:19.631893,31223,0.02
38,-20.81578947368421,0:05:28.583301,32105,0.02
39,-20.82051282051282,0:05:38.813872,32992,0.02
40,-20.825,0:05:46.730782,33818,0.02
41,-20.829268292682926,0:05:55.370821,34642,0.02
42,-20.785714285714285,0:06:05.618356,35659,0.02
43,-20.790697674418606,0:06:14.061855,36451,0.02
44,-20.795454545454547,0:06:23.211759,37354,0.02
45,-20.8,0:06:31.386915,38146,0.02
46,-20.804347826086957,0:06:40.475732,38998,0.02
47,-20.80851063829787,0:06:49.057070,39850,0.02
48,-20.791666666666668,0:06:57.561388,40692,0.02
49,-20.79591836734694,0:07:06.168201,41484,0.02
50,-20.8,0:07:14.815522,42324,0.02
51,-20.80392156862745,0:07:22.575497,43088,0.02
52,-20.807692307692307,0:07:30.319213,43852,0.02
53,-20.81132075471698,0:07:39.081742,44673,0.02
54,-20.796296296296298,0:07:47.970571,45543,0.02
55,-20.8,0:07:55.974571,46335,0.02
56,-20.803571428571427,0:08:03.756429,47099,0.02
57,-20.80701754385965,0:08:12.378316,47891,0.02
58,-20.79310344827586,0:08:21.734983,48827,0.02
59,-20.796610169491526,0:08:29.665288,49619,0.02
60,-20.783333333333335,0:08:38.587004,50461,0.02
61,-20.78688524590164,0:08:46.411297,51225,0.02
62,-20.79032258064516,0:08:54.070398,51989,0.02
63,-20.77777777777778,0:09:02.422806,52827,0.02
64,-20.78125,0:09:10.592837,53619,0.02
65,-20.784615384615385,0:09:19.525811,54472,0.02
66,-20.78787878787879,0:09:27.710084,55292,0.02
67,-20.791044776119403,0:09:37.304612,56234,0.02
68,-20.794117647058822,0:09:46.977929,57148,0.02
69,-20.797101449275363,0:09:57.462506,58148,0.02
70,-20.785714285714285,0:10:06.671286,59035,0.02
71,-20.774647887323944,0:10:16.374455,60022,0.02
72,-20.77777777777778,0:10:25.670010,60964,0.02
73,-20.767123287671232,0:10:36.589211,61999,0.02
74,-20.756756756756758,0:10:46.049730,62957,0.02
75,-20.76,0:10:54.180606,63749,0.02
76,-20.763157894736842,0:11:02.715827,64541,0.02
77,-20.766233766233768,0:11:11.422278,65361,0.02
78,-20.76923076923077,0:11:19.468818,66153,0.02
79,-20.746835443037973,0:11:29.815620,67118,0.02
