episode,score,time,step,epsilon
1,-21.0,0:00:07.508304,912,0.918700000000009
2,-20.5,0:00:17.731617,1801,0.8298000000000187
3,-20.333333333333332,0:00:28.211939,2639,0.746000000000028
4,-20.5,0:00:37.271200,3585,0.6514000000000384
5,-20.6,0:00:46.693938,4548,0.555100000000049
6,-20.666666666666668,0:00:54.962077,5419,0.4680000000000586
7,-20.714285714285715,0:01:03.092177,6245,0.3854000000000677
8,-20.625,0:01:12.167492,7176,0.29230000000007794
9,-20.555555555555557,0:01:21.864426,8168,0.19310000000008887
10,-20.4,0:01:31.744963,9163,0.09360000000009547
11,-20.363636363636363,0:01:40.963894,10052,0.02
12,-20.416666666666668,0:01:48.676581,10816,0.02
13,-20.46153846153846,0:01:56.641769,11580,0.02
14,-20.5,0:02:04.855053,12344,0.02
15,-20.533333333333335,0:02:12.701460,13108,0.02
16,-20.5625,0:02:22.383086,14021,0.02
17,-20.58823529411765,0:02:31.233602,14785,0.02
18,-20.61111111111111,0:02:39.655213,15578,0.02
19,-20.63157894736842,0:02:47.627828,16342,0.02
20,-20.65,0:02:56.294631,17135,0.02
21,-20.61904761904762,0:03:06.316956,18052,0.02
22,-20.636363636363637,0:03:15.738371,18957,0.02
23,-20.652173913043477,0:03:25.814897,19871,0.02
24,-20.666666666666668,0:03:34.050639,20635,0.02
25,-20.68,0:03:43.368035,21489,0.02
26,-20.653846153846153,0:03:53.842473,22472,0.02
27,-20.666666666666668,0:04:01.930108,23236,0.02
28,-20.607142857142858,0:04:11.988053,24156,0.02
29,-20.620689655172413,0:04:19.878769,24920,0.02
30,-20.633333333333333,0:04:27.945926,25684,0.02
31,-20.64516129032258,0:04:37.325702,26536,0.02
32,-20.625,0:04:47.480816,27498,0.02
33,-20.636363636363637,0:04:56.111882,28322,0.02
34,-20.647058823529413,0:05:04.427951,29086,0.02
35,-20.65714285714286,0:05:13.518521,29938,0.02
36,-20.666666666666668,0:05:22.108585,30762,0.02
37,-20.675675675675677,0:05:31.267859,31614,0.02
38,-20.68421052631579,0:05:40.427940,32438,0.02
39,-20.692307692307693,0:05:50.117172,33262,0.02
40,-20.7,0:05:58.835315,34054,0.02
41,-20.70731707317073,0:06:07.376257,34847,0.02
42,-20.69047619047619,0:06:17.527729,35824,0.02
43,-20.697674418604652,0:06:27.631054,36710,0.02
44,-20.704545454545453,0:06:39.061950,37774,0.02
45,-20.666666666666668,0:06:50.448274,38832,0.02
46,-20.67391304347826,0:07:01.458725,39833,0.02
47,-20.659574468085108,0:07:12.290331,40853,0.02
48,-20.666666666666668,0:07:22.742037,41797,0.02
49,-20.6734693877551,0:07:33.587126,42803,0.02
50,-20.66,0:07:44.963609,43870,0.02
51,-20.666666666666668,0:07:53.233399,44653,0.02
52,-20.673076923076923,0:08:05.363306,45779,0.02
53,-20.67924528301887,0:08:16.325984,46783,0.02
54,-20.685185185185187,0:08:27.364781,47847,0.02
55,-20.69090909090909,0:08:37.186263,48733,0.02
56,-20.696428571428573,0:08:45.699049,49525,0.02
57,-20.70175438596491,0:08:57.745863,50651,0.02
58,-20.70689655172414,0:09:08.939547,51717,0.02
59,-20.694915254237287,0:09:20.317480,52757,0.02
60,-20.683333333333334,0:09:30.398988,53677,0.02
61,-20.672131147540984,0:09:41.115332,54717,0.02
62,-20.661290322580644,0:09:55.029690,56026,0.02
63,-20.666666666666668,0:10:05.520807,56971,0.02
64,-20.671875,0:10:18.136293,58155,0.02
65,-20.676923076923078,0:10:26.703950,58979,0.02
66,-20.666666666666668,0:10:36.407202,59898,0.02
67,-20.65671641791045,0:10:46.441114,60818,0.02
68,-20.66176470588235,0:10:55.897329,61704,0.02
69,-20.666666666666668,0:11:07.410889,62769,0.02
70,-20.67142857142857,0:11:28.643140,64705,0.02
71,-20.676056338028168,0:11:37.889764,65547,0.02
72,-20.680555555555557,0:11:46.569560,66371,0.02
73,-20.684931506849313,0:11:55.505940,67195,0.02
74,-20.68918918918919,0:12:05.174437,68080,0.02
75,-20.69333333333333,0:12:14.270826,68933,0.02
76,-20.69736842105263,0:12:24.669295,69877,0.02
77,-20.7012987012987,0:12:45.766036,71819,0.02
78,-20.705128205128204,0:12:56.626743,72842,0.02
79,-20.70886075949367,0:13:11.919353,74208,0.02
80,-20.7,0:13:24.410026,75326,0.02
81,-20.703703703703702,0:13:33.144832,76152,0.02
82,-20.695121951219512,0:13:46.607953,77392,0.02
83,-20.650602409638555,0:14:00.980200,78732,0.02
84,-20.654761904761905,0:14:09.849252,79515,0.02
85,-20.658823529411766,0:14:20.192760,80478,0.02
86,-20.662790697674417,0:14:33.037977,81682,0.02
87,-20.655172413793103,0:14:55.808564,83780,0.02
88,-20.65909090909091,0:15:08.744290,84983,0.02
89,-20.651685393258425,0:15:27.060130,86644,0.02
90,-20.655555555555555,0:15:35.959626,87468,0.02
91,-20.65934065934066,0:15:44.879991,88260,0.02
92,-20.66304347826087,0:15:56.182815,89342,0.02
93,-20.666666666666668,0:16:16.710552,91237,0.02
94,-20.659574468085108,0:16:38.203326,93208,0.02
95,-20.652631578947368,0:16:53.942529,94676,0.02
96,-20.65625,0:17:10.065557,96179,0.02
97,-20.65979381443299,0:17:24.537124,97487,0.02
98,-20.663265306122447,0:17:34.804610,98447,0.02
99,-20.646464646464647,0:17:53.855978,100168,0.02
100,-20.63,0:18:10.013654,101615,0.02
101,-20.61,0:18:27.723486,103251,0.02
102,-20.62,0:18:44.961503,104792,0.02
103,-20.62,0:19:05.394484,106681,0.02
104,-20.61,0:19:28.566596,108855,0.02
105,-20.6,0:19:50.974285,110907,0.02
106,-20.58,0:20:15.840227,113171,0.02
107,-20.57,0:20:37.589484,115172,0.02
108,-20.57,0:21:00.166620,117233,0.02
109,-20.57,0:21:12.505292,118335,0.02
110,-20.55,0:21:35.064661,120423,0.02
111,-20.54,0:21:56.257589,122363,0.02
112,-20.52,0:22:20.984043,124625,0.02
113,-20.51,0:22:43.718316,126698,0.02
114,-20.47,0:23:12.845876,129279,0.02
115,-20.43,0:23:41.016934,131835,0.02
116,-20.41,0:24:06.469542,134126,0.02
117,-20.38,0:24:37.638040,136994,0.02
118,-20.36,0:24:58.927625,138940,0.02
119,-20.35,0:25:23.638746,141182,0.02
120,-20.31,0:25:49.322354,143549,0.02
121,-20.29,0:26:16.625041,145992,0.02
122,-20.23,0:26:52.679189,149247,0.02
123,-20.21,0:27:19.167553,151637,0.02
124,-20.18,0:27:47.152108,154251,0.02
125,-20.15,0:28:15.643640,156827,0.02
126,-20.14,0:28:43.968567,159384,0.02
127,-20.08,0:29:12.598594,161963,0.02
128,-20.07,0:29:36.888859,164200,0.02
129,-20.0,0:30:05.087557,166756,0.02
130,-19.97,0:30:25.195485,168614,0.02
131,-19.94,0:30:48.355059,170740,0.02
132,-19.95,0:31:15.453904,173174,0.02
133,-19.86,0:31:48.679989,176194,0.02
134,-19.83,0:32:16.162311,178704,0.02
135,-19.8,0:32:44.572111,181253,0.02
136,-19.8,0:33:00.913200,182719,0.02
137,-19.75,0:33:26.227432,185036,0.02
138,-19.7,0:33:51.998177,187368,0.02
139,-19.63,0:34:22.459025,190149,0.02
140,-19.56,0:34:53.420549,192971,0.02
141,-19.51,0:35:24.670301,195835,0.02
142,-19.46,0:35:56.424594,198684,0.02
143,-19.35,0:36:35.347450,202262,0.02
144,-19.28,0:37:07.279148,205141,0.02
145,-19.19,0:37:43.958729,208455,0.02
146,-19.09,0:38:21.430063,211826,0.02
147,-18.99,0:38:54.221513,214777,0.02
148,-18.9,0:39:31.527267,218136,0.02
149,-18.82,0:40:03.653499,220981,0.02
150,-18.71,0:40:46.367114,224848,0.02
151,-18.65,0:41:18.185058,227838,0.02
152,-18.56,0:41:56.221615,231198,0.02
153,-18.49,0:42:33.618435,234510,0.02
154,-18.4,0:43:13.534319,238082,0.02
155,-18.37,0:43:40.923451,240592,0.02
156,-18.35,0:44:07.356180,242938,0.02
157,-18.28,0:44:42.627093,246135,0.02
158,-18.22,0:45:20.481224,249539,0.02
159,-18.16,0:45:50.267945,252232,0.02
160,-18.11,0:46:23.955332,255221,0.02
161,-18.06,0:46:56.553646,258188,0.02
162,-18.02,0:47:28.221866,261030,0.02
163,-17.92,0:48:15.802204,265343,0.02
164,-17.87,0:48:48.483314,268245,0.02
165,-17.77,0:49:32.126630,272182,0.02
166,-17.73,0:50:09.071909,275518,0.02
167,-17.66,0:50:48.792814,279119,0.02
168,-17.62,0:51:29.591537,282788,0.02
169,-17.55,0:51:58.695259,285372,0.02
170,-17.43,0:52:39.706158,289101,0.02
171,-17.37,0:53:07.572300,291604,0.02
172,-17.21,0:53:51.838561,295562,0.02
173,-17.14,0:54:25.617448,298591,0.02
174,-17.01,0:55:04.678708,302124,0.02
175,-16.74,0:55:45.705429,305844,0.02
176,-16.56,0:56:32.745099,310057,0.02
177,-16.45,0:57:12.618856,313584,0.02
178,-16.23,0:58:01.452578,317918,0.02
179,-15.89,0:58:31.106317,320593,0.02
180,-15.54,0:58:57.051225,322925,0.02
181,-15.29,0:59:41.974599,326930,0.02
182,-14.97,1:00:12.505576,329629,0.02
183,-14.74,1:00:48.623513,332906,0.02
184,-14.39,1:01:13.589498,335128,0.02
185,-14.07,1:01:46.739230,338122,0.02
186,-13.8,1:02:18.918844,340988,0.02
187,-13.66,1:02:59.151265,344562,0.02
188,-13.36,1:03:34.339742,347645,0.02
189,-12.99,1:04:01.936070,350161,0.02
190,-12.69,1:04:39.015415,353536,0.02
191,-12.38,1:05:16.936652,356943,0.02
192,-12.04,1:05:47.683262,359655,0.02
193,-11.62,1:06:06.183510,361296,0.02
194,-11.26,1:06:32.677676,363681,0.02
195,-10.91,1:06:56.431846,365835,0.02
196,-10.57,1:07:26.272808,368507,0.02
197,-10.21,1:07:52.574788,370829,0.02
198,-9.86,1:08:21.641744,373432,0.02
199,-9.5,1:08:46.062096,375671,0.02
200,-9.18,1:09:12.294579,378029,0.02
201,-8.93,1:09:48.815910,381310,0.02
202,-8.59,1:10:23.588807,384446,0.02
203,-8.28,1:10:54.189737,387175,0.02
204,-7.99,1:11:29.082655,390274,0.02
205,-7.61,1:11:50.967504,392183,0.02
206,-7.27,1:12:18.688371,394686,0.02
207,-6.86,1:12:37.334357,396328,0.02
208,-6.5,1:13:02.716050,398632,0.02
209,-6.11,1:13:22.837281,400448,0.02
210,-5.77,1:13:46.692660,402578,0.02
211,-5.41,1:14:10.680818,404678,0.02
212,-5.02,1:14:30.483900,406444,0.02
213,-4.75,1:15:02.834569,409355,0.02
214,-4.56,1:15:43.693880,412985,0.02
215,-4.19,1:16:03.345813,414768,0.02
216,-3.84,1:16:28.253069,416953,0.02
217,-3.6,1:16:58.463020,419646,0.02
218,-3.28,1:17:26.311980,422183,0.02
219,-3.02,1:18:02.362949,425411,0.02
220,-2.83,1:18:40.657940,428851,0.02
221,-2.49,1:19:06.370785,431151,0.02
222,-2.18,1:19:34.609524,433680,0.02
223,-1.81,1:19:58.115627,435795,0.02
224,-1.46,1:20:21.108324,437830,0.02
225,-1.18,1:20:51.215831,440509,0.02
226,-0.84,1:21:16.416491,442782,0.02
227,-0.54,1:21:40.804530,444959,0.02
228,-0.17,1:22:04.511822,447032,0.02
229,0.16,1:22:23.879187,448829,0.02
230,0.54,1:22:43.367138,450521,0.02
231,0.88,1:23:09.391210,452907,0.02
232,1.28,1:23:28.923669,454684,0.02
233,1.61,1:23:47.869399,456327,0.02
234,1.99,1:24:06.209866,458031,0.02
235,2.27,1:24:33.097152,460403,0.02
236,2.63,1:25:02.885755,463023,0.02
237,2.98,1:25:24.511189,464952,0.02
238,3.3,1:25:49.486974,467163,0.02
239,3.63,1:26:09.578671,468953,0.02
240,3.96,1:26:31.296191,470899,0.02
241,4.31,1:26:53.008463,472849,0.02
242,4.66,1:27:12.323121,474572,0.02
243,4.95,1:27:31.619766,476319,0.02
244,5.29,1:27:51.135852,478042,0.02
245,5.54,1:28:14.851545,480154,0.02
246,5.85,1:28:35.779858,482012,0.02
247,6.14,1:28:56.598980,483874,0.02
248,6.42,1:29:23.047780,486223,0.02
249,6.69,1:29:49.732766,488619,0.02
250,6.98,1:30:09.069260,490338,0.02
251,7.31,1:30:31.049312,492314,0.02
252,7.64,1:30:49.370249,493956,0.02
253,7.93,1:31:13.940819,496139,0.02
254,8.19,1:31:41.354771,498625,0.02
255,8.55,1:32:04.085943,500663,0.02
256,8.92,1:32:26.750165,502633,0.02
257,9.25,1:32:48.128419,504551,0.02
258,9.61,1:33:07.333415,506314,0.02
259,9.92,1:33:32.457481,508552,0.02
260,10.25,1:33:54.568277,510525,0.02
261,10.56,1:34:18.415659,512662,0.02
262,10.92,1:34:37.036266,514369,0.02
263,11.24,1:34:55.863483,516071,0.02
264,11.57,1:35:17.635562,518024,0.02
265,11.84,1:35:41.102074,520175,0.02
266,12.19,1:36:00.728118,521996,0.02
267,12.5,1:36:21.356717,523898,0.02
268,12.83,1:36:43.358419,525978,0.02
269,13.15,1:37:07.333092,528193,0.02
270,13.35,1:37:36.148082,530902,0.02
271,13.6,1:38:04.286155,533547,0.02
272,13.83,1:38:26.089444,535618,0.02
273,14.14,1:38:46.279579,537545,0.02
274,14.36,1:39:11.238597,539896,0.02
275,14.47,1:39:33.501588,542033,0.02
276,14.66,1:39:57.887400,544291,0.02
277,14.97,1:40:15.353935,545932,0.02
278,15.17,1:40:34.273445,547719,0.02
279,15.2,1:40:55.545769,549685,0.02
280,15.26,1:41:12.933901,551327,0.02
281,15.4,1:41:34.456843,553380,0.02
282,15.46,1:41:55.798369,555368,0.02
283,15.57,1:42:16.927744,557344,0.02
284,15.6,1:42:36.878886,559241,0.02
285,15.64,1:43:00.914992,561594,0.02
286,15.76,1:43:21.064330,563509,0.02
287,16.03,1:43:39.117831,565240,0.02
288,16.11,1:44:00.501997,567321,0.02
289,16.13,1:44:20.109939,569230,0.02
290,16.23,1:44:40.118174,571134,0.02
291,16.34,1:44:57.979932,572776,0.02
292,16.39,1:45:18.981970,574760,0.02
293,16.35,1:45:40.300918,576803,0.02
294,16.37,1:46:01.565161,578797,0.02
295,16.4,1:46:23.656948,580875,0.02
296,16.42,1:46:45.650479,583020,0.02
297,16.46,1:47:04.561550,584807,0.02
298,16.43,1:47:33.577105,587610,0.02
299,16.44,1:47:53.817736,589567,0.02
300,16.5,1:48:13.267388,591359,0.02
301,16.64,1:48:31.217107,593080,0.02
302,16.72,1:48:48.403916,594737,0.02
303,16.79,1:49:09.233968,596716,0.02
