iteration,episode,score,step
25,48,-20.354166666666668,51200
50,107,-20.36,102400
75,160,-20.39,153600
100,213,-20.35,204800
125,265,-20.37,256000
150,321,-20.31,307200
175,369,-20.22,358400
200,420,-20.0,409600
225,466,-19.86,460800
250,509,-19.92,512000
275,547,-19.53,563200
300,576,-19.05,614400
325,598,-18.38,665600
350,617,-16.25,716800
375,637,-11.49,768000
400,665,-1.78,819200
425,693,8.42,870400
450,724,16.97,921600
475,755,19.43,972800
500,786,19.59,1024000
525,815,19.03,1075200
550,846,18.99,1126400
575,874,19.1,1177600
600,901,19.16,1228800
625,932,19.77,1280000
650,964,19.9,1331200
675,996,19.87,1382400
700,1027,19.75,1433600
725,1058,19.64,1484800
750,1089,19.68,1536000
775,1119,19.68,1587200
800,1147,19.79,1638400
825,1177,19.8,1689600
850,1207,19.78,1740800
875,1238,19.83,1792000
900,1268,19.87,1843200
925,1299,19.7,1894400
950,1330,19.67,1945600
975,1362,19.63,1996800
1000,1392,19.78,2048000
1025,1421,19.84,2099200
1050,1452,19.82,2150400
1075,1481,19.65,2201600
1100,1510,19.69,2252800
1125,1542,19.74,2304000
1150,1572,19.8,2355200
1175,1602,19.88,2406400
1200,1632,19.73,2457600
