episode,score,time,step,epsilon
44,-20.863636363636363,0:06:16.474038,37142,0.02
45,-20.866666666666667,0:06:24.725543,37967,0.02
46,-20.869565217391305,0:06:32.935391,38793,0.02
47,-20.872340425531913,0:06:42.510775,39707,0.02
48,-20.875,0:06:52.463499,40712,0.02
49,-20.877551020408163,0:07:00.872765,41538,0.02
50,-20.88,0:07:09.561751,42362,0.02
51,-20.88235294117647,0:07:17.919108,43205,0.02
52,-20.846153846153847,0:07:29.049270,44282,0.02
53,-20.849056603773583,0:07:38.641992,45256,0.02
54,-20.85185185185185,0:07:47.977098,46140,0.02
55,-20.854545454545455,0:07:56.811364,47032,0.02
56,-20.857142857142858,0:08:06.311089,47946,0.02
57,-20.842105263157894,0:08:16.891244,48973,0.02
58,-20.844827586206897,0:08:24.634661,49737,0.02
59,-20.847457627118644,0:08:33.522069,50563,0.02
60,-20.85,0:08:41.344646,51327,0.02
61,-20.83606557377049,0:08:49.794079,52169,0.02
62,-20.838709677419356,0:08:59.221141,53053,0.02
63,-20.841269841269842,0:09:07.127774,53817,0.02
64,-20.84375,0:09:15.542057,54641,0.02
65,-20.846153846153847,0:09:24.722965,55485,0.02
66,-20.848484848484848,0:09:33.465874,56355,0.02
67,-20.850746268656717,0:09:41.795428,57147,0.02
68,-20.852941176470587,0:09:50.834184,58001,0.02
69,-20.840579710144926,0:10:00.650268,58982,0.02
70,-20.84285714285714,0:10:08.684159,59746,0.02
71,-20.830985915492956,0:10:17.825683,60646,0.02
72,-20.819444444444443,0:10:29.027441,61714,0.02
73,-20.82191780821918,0:10:37.960621,62658,0.02
74,-20.824324324324323,0:10:47.351349,63540,0.02
75,-20.813333333333333,0:10:57.999919,64626,0.02
76,-20.81578947368421,0:11:07.883439,65568,0.02
77,-20.805194805194805,0:11:16.895381,66472,0.02
78,-20.807692307692307,0:11:26.917548,67412,0.02
79,-20.79746835443038,0:11:37.136746,68446,0.02
80,-20.7,0:11:53.816584,70031,0.02
81,-20.703703703703702,0:12:02.835713,70915,0.02
82,-20.70731707317073,0:12:12.262876,71827,0.02
83,-20.710843373493976,0:12:22.275344,72811,0.02
84,-20.714285714285715,0:12:31.727002,73665,0.02
85,-20.705882352941178,0:12:43.026693,74774,0.02
86,-20.709302325581394,0:12:52.559669,75678,0.02
87,-20.71264367816092,0:13:03.640520,76730,0.02
88,-20.71590909090909,0:13:16.025836,77916,0.02
89,-20.696629213483146,0:13:28.353123,79118,0.02
90,-20.68888888888889,0:13:40.564559,80303,0.02
91,-20.681318681318682,0:13:52.000460,81371,0.02
92,-20.684782608695652,0:14:03.913266,82495,0.02
93,-20.688172043010752,0:14:12.858656,83379,0.02
94,-20.69148936170213,0:14:23.155226,84342,0.02
95,-20.694736842105264,0:14:34.449785,85454,0.02
96,-20.6875,0:14:46.487473,86607,0.02
97,-20.690721649484537,0:14:56.553171,87597,0.02
98,-20.693877551020407,0:15:07.136298,88629,0.02
99,-20.68686868686869,0:15:19.120493,89831,0.02
100,-20.69,0:15:29.535853,90855,0.02
101,-20.68,0:15:41.856999,92052,0.02
102,-20.69,0:15:52.722826,93105,0.02
103,-20.67,0:16:04.510310,94283,0.02
104,-20.65,0:16:16.868360,95543,0.02
105,-20.65,0:16:28.332836,96720,0.02
106,-20.64,0:16:39.694235,97834,0.02
107,-20.64,0:16:48.711049,98707,0.02
108,-20.61,0:17:01.616430,99972,0.02
109,-20.61,0:17:11.771290,100954,0.02
110,-20.6,0:17:24.565835,102201,0.02
111,-20.6,0:17:35.868976,103307,0.02
112,-20.6,0:17:46.852977,104359,0.02
113,-20.59,0:17:56.255346,105308,0.02
114,-20.58,0:18:10.309600,106669,0.02
115,-20.57,0:18:25.559513,108104,0.02
116,-20.55,0:18:38.979026,109395,0.02
117,-20.55,0:18:48.314722,110326,0.02
118,-20.55,0:19:02.390402,111725,0.02
119,-20.53,0:19:16.626094,113147,0.02
120,-20.53,0:19:30.960480,114561,0.02
121,-20.53,0:19:42.660583,115696,0.02
122,-20.51,0:19:57.141440,117140,0.02
123,-20.5,0:20:16.223242,119007,0.02
124,-20.5,0:20:27.928757,120175,0.02
125,-20.48,0:20:43.696085,121723,0.02
126,-20.47,0:21:02.485926,123539,0.02
127,-20.43,0:21:23.662687,125585,0.02
128,-20.41,0:21:38.353180,127035,0.02
129,-20.4,0:21:56.270951,128758,0.02
130,-20.39,0:22:15.297743,130606,0.02
131,-20.36,0:22:36.570866,132724,0.02
132,-20.34,0:22:56.321397,134660,0.02
133,-20.34,0:23:12.189202,136233,0.02
134,-20.33,0:23:27.193177,137659,0.02
135,-20.3,0:23:49.853474,139904,0.02
136,-20.26,0:24:09.456796,141771,0.02
137,-20.25,0:24:30.887563,143883,0.02
138,-20.22,0:24:47.974020,145617,0.02
139,-20.18,0:25:10.461348,147787,0.02
140,-20.17,0:25:28.689981,149554,0.02
141,-20.16,0:25:47.322412,151382,0.02
142,-20.15,0:26:07.452680,153404,0.02
143,-20.12,0:26:29.560810,155633,0.02
144,-20.11,0:26:52.469558,157889,0.02
145,-20.1,0:27:11.717885,159751,0.02
146,-20.03,0:27:34.590411,161930,0.02
147,-20.02,0:27:56.665780,164094,0.02
148,-20.0,0:28:16.296194,166004,0.02
149,-19.95,0:28:42.898793,168568,0.02
150,-19.94,0:29:07.194723,170893,0.02
151,-19.92,0:29:30.270332,173187,0.02
152,-19.9,0:29:57.004030,175852,0.02
153,-19.88,0:30:22.499481,178345,0.02
154,-19.83,0:30:49.619273,181027,0.02
155,-19.81,0:31:11.028461,183132,0.02
156,-19.78,0:31:36.377179,185563,0.02
157,-19.74,0:32:08.085706,188651,0.02
158,-19.72,0:32:32.920135,191049,0.02
159,-19.66,0:33:08.400116,194489,0.02
160,-19.62,0:33:36.376747,197254,0.02
161,-19.6,0:33:58.398779,199395,0.02
162,-19.57,0:34:22.820256,201760,0.02
163,-19.53,0:34:49.552580,204336,0.02
164,-19.52,0:35:12.817551,206604,0.02
165,-19.41,0:35:43.069214,209664,0.02
166,-19.32,0:36:12.546162,212586,0.02
167,-19.21,0:36:44.082905,215683,0.02
168,-19.07,0:37:16.922422,218947,0.02
169,-19.0,0:37:48.398205,221993,0.02
170,-18.87,0:38:20.966477,225105,0.02
171,-18.64,0:38:58.946026,228801,0.02
172,-18.33,0:39:34.308266,232162,0.02
173,-18.0,0:40:04.206194,235055,0.02
174,-17.88,0:40:37.041461,238254,0.02
175,-17.75,0:41:11.261666,241561,0.02
176,-17.56,0:41:54.455762,245695,0.02
177,-17.29,0:42:32.202965,249375,0.02
178,-17.0,0:43:06.331254,252791,0.02
179,-16.74,0:43:40.489755,256155,0.02
180,-16.54,0:44:19.517171,259965,0.02
181,-16.46,0:44:53.944036,263307,0.02
182,-16.28,0:45:35.607589,267359,0.02
183,-15.98,0:46:03.218665,270089,0.02
184,-15.96,0:46:24.340804,272094,0.02
185,-15.86,0:46:54.769485,275045,0.02
186,-15.66,0:47:36.018793,279047,0.02
187,-15.6,0:48:00.827187,281505,0.02
188,-15.51,0:48:32.014588,284487,0.02
189,-15.22,0:48:58.751412,287077,0.02
190,-14.93,0:49:26.134936,289754,0.02
191,-14.63,0:49:57.050954,292733,0.02
192,-14.31,0:50:24.620747,295451,0.02
193,-14.01,0:50:54.177052,298279,0.02
194,-13.75,0:51:28.281152,301631,0.02
195,-13.35,0:51:47.878016,303565,0.02
196,-12.95,0:52:05.604795,305267,0.02
197,-12.63,0:52:31.621202,307752,0.02
198,-12.29,0:52:55.049963,310106,0.02
199,-11.9,0:53:14.070481,311989,0.02
200,-11.57,0:53:43.369415,314789,0.02
201,-11.17,0:54:00.124098,316444,0.02
202,-10.83,0:54:26.615298,319037,0.02
203,-10.46,0:54:46.607341,321017,0.02
204,-10.11,0:55:08.088469,323151,0.02
205,-9.81,0:55:33.708923,325726,0.02
206,-9.6,0:56:04.909534,328779,0.02
207,-9.21,0:56:25.609594,330832,0.02
208,-8.86,0:56:47.373252,332969,0.02
209,-8.47,0:57:07.202325,334897,0.02
210,-8.08,0:57:26.423285,336766,0.02
211,-7.7,0:57:46.921742,338823,0.02
212,-7.39,0:58:11.553233,341208,0.02
213,-7.02,0:58:32.933494,343335,0.02
214,-6.63,0:58:51.556025,345159,0.02
215,-6.42,0:59:29.098241,348809,0.02
216,-6.06,0:59:50.262626,350865,0.02
217,-5.78,1:00:20.686396,353846,0.02
218,-5.39,1:00:39.911428,355731,0.02
219,-5.03,1:00:59.439747,357675,0.02
220,-4.75,1:01:32.413561,360994,0.02
221,-4.4,1:01:57.127614,363380,0.02
222,-4.02,1:02:16.882541,365268,0.02
223,-3.62,1:02:35.088337,366996,0.02
224,-3.22,1:02:53.566735,368842,0.02
225,-2.88,1:03:17.068134,371142,0.02
226,-2.51,1:03:38.521502,373227,0.02
227,-2.15,1:03:57.879423,375139,0.02
228,-1.81,1:04:19.015972,377254,0.02
229,-1.4,1:04:35.519110,378888,0.02
230,-1.02,1:04:58.507653,381128,0.02
231,-0.71,1:05:24.093366,383523,0.02
