iteration,episode,score,step
25,49,-20.3265306122449,48000
50,99,-20.303030303030305,96000
75,149,-20.18,144000
100,200,-20.16,192000
125,254,-20.44,240000
150,307,-20.63,288000
175,357,-20.44,336000
200,409,-20.31,384000
225,459,-20.2,432000
250,505,-20.02,480000
275,553,-20.12,528000
300,596,-19.97,576000
325,636,-19.78,624000
350,667,-19.46,672000
375,697,-19.09,720000
400,722,-18.43,768000
425,746,-17.7,816000
450,763,-16.75,864000
475,781,-14.51,912000
500,795,-12.92,960000
525,809,-11.31,1008000
550,820,-9.91,1056000
575,831,-8.38,1104000
600,846,-4.63,1152000
625,862,-0.11,1200000
650,877,2.98,1248000
675,893,6.58,1296000
700,907,9.44,1344000
