iteration,episode,score,step
25,404,5.52,102400
50,805,3.62,204800
75,1208,4.17,307200
100,1604,5.47,409600
125,1999,6.88,512000
150,2399,5.08,614400
175,2797,4.95,716800
200,3193,5.44,819200
225,3569,5.02,921600
250,3960,4.31,1024000
275,4342,4.63,1126400
300,4719,5.48,1228800
325,5078,5.87,1331200
350,5456,5.7,1433600
375,5851,4.64,1536000
400,6231,5.47,1638400
425,6600,5.46,1740800
450,6988,5.08,1843200
475,7374,5.03,1945600
500,7754,5.54,2048000
525,8142,5.04,2150400
550,8512,6.57,2252800
575,8875,6.02,2355200
600,9257,4.88,2457600
625,9618,5.47,2560000
650,10002,5.55,2662400
675,10386,5.01,2764800
700,10779,5.02,2867200
725,11166,5.31,2969600
750,11545,5.83,3072000
775,11920,5.26,3174400
800,12280,6.28,3276800
