iteration,episode,score,step
25,67,1.3582089552238805,12800
50,121,2.8,25600
75,161,5.99,38400
100,201,9.06,51200
125,245,9.48,64000
150,296,8.01,76800
175,343,7.34,89600
200,386,8.54,102400
225,433,8.78,115200
250,482,8.12,128000
275,536,7.25,140800
300,588,6.43,153600
325,639,6.19,166400
350,696,5.09,179200
375,753,4.2,192000
400,803,4.44,204800
425,856,5.3,217600
450,904,6.22,230400
475,958,6.56,243200
500,1006,6.86,256000
525,1061,6.38,268800
550,1115,5.13,281600
575,1169,5.47,294400
600,1222,5.8,307200
625,1270,6.96,320000
650,1322,7.48,332800
675,1378,5.78,345600
700,1433,5.0,358400
725,1488,5.16,371200
750,1542,5.14,384000
775,1596,5.32,396800
800,1649,5.84,409600
825,1701,5.88,422400
850,1752,6.72,435200
875,1796,8.1,448000
900,1842,8.93,460800
925,1890,8.71,473600
950,1942,7.37,486400
975,1989,7.22,499200
1000,2037,7.86,512000
1025,2085,8.36,524800
1050,2131,8.85,537600
1075,2178,8.84,550400
1100,2226,8.84,563200
1125,2275,8.4,576000
1150,2324,7.95,588800
1175,2369,8.24,601600
1200,2416,8.57,614400
1225,2463,8.69,627200
1250,2508,8.91,640000
1275,2555,8.82,652800
1300,2602,8.59,665600
1325,2647,8.29,678400
1350,2694,8.54,691200
1375,2741,8.42,704000
1400,2787,8.38,716800
1425,2838,8.29,729600
1450,2885,8.55,742400
1475,2934,8.28,755200
1500,2982,7.96,768000
1525,3030,8.3,780800
1550,3078,8.13,793600
1575,3127,7.93,806400
1600,3177,7.84,819200
1625,3223,8.0,832000
1650,3271,8.78,844800
1675,3320,8.62,857600
1700,3371,7.2,870400
1725,3421,7.08,883200
1750,3470,8.12,896000
1775,3519,7.96,908800
1800,3569,7.24,921600
1825,3620,7.48,934400
1850,3668,8.12,947200
1875,3717,8.2,960000
1900,3766,8.04,972800
1925,3819,7.4,985600
1950,3866,7.44,998400
1975,3916,8.24,1011200
2000,3963,8.44,1024000
2025,4011,8.52,1036800
2050,4058,8.44,1049600
2075,4107,8.04,1062400
2100,4159,7.04,1075200
2125,4213,6.56,1088000
2150,4263,6.4,1100800
2175,4315,6.64,1113600
2200,4367,7.04,1126400
2225,4416,7.64,1139200
2250,4469,7.04,1152000
2275,4523,5.62,1164800
2300,4573,6.42,1177600
2325,4620,7.56,1190400
2350,4670,8.32,1203200
2375,4717,8.4,1216000
2400,4765,8.48,1228800
2425,4812,8.44,1241600
2450,4862,8.4,1254400
2475,4908,8.52,1267200
2500,4956,8.36,1280000
2525,5001,8.76,1292800
2550,5047,9.0,1305600
2575,5095,8.56,1318400
2600,5143,8.68,1331200
2625,5191,8.65,1344000
2650,5240,8.17,1356800
2675,5285,8.05,1369600
2700,5333,8.44,1382400
2725,5379,8.55,1395200
2750,5429,8.34,1408000
2775,5478,7.51,1420800
2800,5531,7.09,1433600
2825,5579,7.79,1446400
2850,5627,7.76,1459200
2875,5675,7.49,1472000
2900,5724,7.89,1484800
2925,5771,8.43,1497600
2950,5820,8.4,1510400
2975,5870,7.99,1523200
3000,5918,7.63,1536000
3025,5969,7.21,1548800
3050,6021,7.1,1561600
3075,6070,7.36,1574400
3100,6117,8.28,1587200
3125,6166,8.62,1600000
3150,6215,8.22,1612800
3175,6263,7.88,1625600
3200,6311,8.04,1638400
3225,6358,8.72,1651200
3250,6407,8.68,1664000
3275,6452,8.58,1676800
3300,6501,8.79,1689600
3325,6547,8.41,1702400
3350,6592,8.25,1715200
3375,6636,8.72,1728000
3400,6678,9.06,1740800
3425,6718,9.64,1753600
3450,6756,10.13,1766400
3475,6800,9.82,1779200
3500,6845,9.54,1792000
3525,6886,9.38,1804800
3550,6932,9.34,1817600
3575,6980,8.82,1830400
3600,7029,8.2,1843200
3625,7078,7.7,1856000
3650,7127,7.65,1868800
3675,7166,8.35,1881600
3700,7208,9.22,1894400
3725,7250,9.46,1907200
3750,7288,10.3,1920000
3775,7330,10.47,1932800
3800,7369,10.11,1945600
3825,7418,8.94,1958400
3850,7461,8.61,1971200
3875,7503,9.14,1984000
3900,7546,9.81,1996800
3925,7588,9.58,2009600
3950,7631,9.41,2022400
3975,7669,9.54,2035200
4000,7714,8.99,2048000
4025,7752,9.22,2060800
4050,7794,10.0,2073600
4075,7835,9.75,2086400
4100,7881,8.17,2099200
4125,7923,8.13,2112000
4150,7963,8.08,2124800
4175,8002,9.42,2137600
4200,8039,9.88,2150400
4225,8074,10.93,2163200
4250,8108,11.58,2176000
4275,8142,12.19,2188800
4300,8177,12.56,2201600
4325,8214,12.28,2214400
4350,8245,12.55,2227200
4375,8284,12.43,2240000
4400,8328,10.93,2252800
4425,8375,8.72,2265600
4450,8424,8.18,2278400
4475,8466,8.75,2291200
4500,8505,9.3,2304000
4525,8543,10.39,2316800
4550,8578,11.1,2329600
4575,8616,11.28,2342400
4600,8647,11.78,2355200
4625,8680,12.63,2368000
4650,8713,13.21,2380800
4675,8746,13.14,2393600
4700,8783,12.94,2406400
4725,8815,12.75,2419200
4750,8849,13.36,2432000
4775,8883,13.11,2444800
4800,8919,12.73,2457600
4825,8951,12.37,2470400
4850,8986,12.74,2483200
4875,9020,13.9,2496000
4900,9053,14.18,2508800
4925,9085,14.77,2521600
4950,9116,14.96,2534400
4975,9151,14.68,2547200
5000,9185,14.36,2560000
5025,9216,14.13,2572800
5050,9248,14.86,2585600
5075,9279,15.52,2598400
5100,9310,16.14,2611200
5125,9346,15.66,2624000
5150,9382,15.28,2636800
5175,9413,15.36,2649600
5200,9448,15.75,2662400
5225,9482,15.34,2675200
5250,9519,14.31,2688000
5275,9555,13.4,2700800
5300,9587,14.32,2713600
5325,9619,15.46,2726400
5350,9652,17.0,2739200
5375,9682,17.45,2752000
5400,9713,17.16,2764800
5425,9745,17.32,2777600
5450,9777,17.0,2790400
5475,9808,17.69,2803200
5500,9840,17.84,2816000
5525,9871,18.24,2828800
5550,9901,18.79,2841600
5575,9931,19.21,2854400
5600,9962,19.94,2867200
5625,9994,19.84,2880000
5650,10026,19.2,2892800
5675,10057,19.16,2905600
5700,10090,19.33,2918400
5725,10122,20.52,2931200
5750,10154,20.69,2944000
5775,10187,19.98,2956800
5800,10217,19.98,2969600
5825,10248,20.68,2982400
5850,10278,20.66,2995200
5875,10309,22.08,3008000
5900,10336,23.23,3020800
5925,10366,23.93,3033600
5950,10395,24.23,3046400
5975,10423,22.99,3059200
6000,10452,23.66,3072000
